MinimumInstallerVersion;InstallerVersionLessThan;MinimumEmu68Version;Emu68VersionLessThan;KickstartVersion;IconsetName;USBStack;NetworkStack;AmigaUpdate;AmigaVersionCheck;PackageType;PackageName;PackageMandatory;PackageNameDefaultInstall;PackageNameFriendlyName;PackageNameGroup;PackageNameDescription;UpdatePackageSearchTerm;UpdatePackageSearchResultLimit;UpdatePackageSearchExclusionTerm;UpdatePackageSearchMinimumDate;InstallSequence;AlwaysDownload;Source;GithubReleaseType;GithubName;GithubRelease;InstallType;SourceLocation;UseLHASA;BackupSourceLocation;ArchiveinArchiveName;ArchiveinArchivePassword;FileDownloadName;PerformHashCheck;Hash;FilestoInstall;UseUAEFSDB;DrivetoInstall;LocationtoInstall;CopytoAmigaDriveDirect;CopyRecursive;UncompressZFiles;CreateFolderInfoFile;NewFileName;ScriptBeingModified;ModifyScript;ModifyScriptAction;ScriptNameofChange;ScriptEditStartPoint;ScriptEditEndPoint;ScriptPathtoChanges;ScriptArexxFlag;ModifyInfoFileType;ModifyInfoFileTooltype;PathtoRevisedToolTypeInfo;InstallCondition
"2.1.4";"9.9";"0.1";"9.9";"3.1,3.2,3.2.2.1,3.2.3,3.9";"";"";"AmiNetXDuo";"FALSE";"";"Selectable";"Pistorm Folder - Online and Offline";"FALSE";"TRUE";"Network Utilities";"Network";"Network utilities to get you online";"";"";"";"";"";"FALSE";"Local";"";"";"";"CopyFiles";"System\PiStorm\Network\OnlineGENetScriptMenutools_AmiNetXDuo";"FALSE";"";"";"";"";"FALSE";"";"";"TRUE";"System";"PiStorm\Network";"FALSE";"FALSE";"FALSE";"FALSE";"OnlineGENetScriptMenutools";"FALSE";"FALSE";"FALSE";"FALSE";"FALSE";"FALSE";"FALSE";"FALSE";"FALSE";"FALSE";"";""
"2.1.4";"9.9";"0.1";"9.9";"3.1,3.2,3.2.2.1,3.2.3,3.9";"";"";"AmiNetXDuo";"FALSE";"";"Selectable";"Pistorm Folder - Online and Offline";"FALSE";"TRUE";"Network Utilities";"Network";"Network utilities to get you online";"";"";"";"";"";"FALSE";"Local";"";"";"";"CopyFiles";"System\PiStorm\Network\OfflineScriptMenutools_AmiNetXDuo";"FALSE";"";"";"";"";"FALSE";"";"";"TRUE";"System";"PiStorm\Network";"FALSE";"FALSE";"FALSE";"FALSE";"OfflineScriptMenutools";"FALSE";"FALSE";"FALSE";"FALSE";"FALSE";"FALSE";"FALSE";"FALSE";"FALSE";"FALSE";"";""
"2.1.4";"9.9";"0.1";"9.9";"3.1,3.2,3.2.2.1,3.2.3,3.9";"";"";"AmiNetXDuo";"FALSE";"";"Selectable";"Pistorm Folder - Online and Offline";"FALSE";"TRUE";"Network Utilities";"Network";"Network utilities to get you online";"";"";"";"";"";"FALSE";"Local";"";"";"";"CopyFiles";"System\Pistorm\OnlineWifi_Roadshow.info";"FALSE";"";"";"";"";"FALSE";"";"";"TRUE";"System";"PiStorm";"FALSE";"FALSE";"FALSE";"TRUE";"OnlineWifi.info";"FALSE";"FALSE";"FALSE";"FALSE";"FALSE";"FALSE";"FALSE";"FALSE";"FALSE";"FALSE";"";""
"2.1.4";"9.9";"0.1";"9.9";"3.1,3.2,3.2.2.1,3.2.3,3.9";"";"";"AmiNetXDuo";"FALSE";"";"Selectable";"Pistorm Folder - Online and Offline";"FALSE";"TRUE";"Network Utilities";"Network";"Network utilities to get you online";"";"";"";"";"";"FALSE";"Local";"";"";"";"CopyFiles";"System\Pistorm\OnlineGENet_Roadshow.info";"FALSE";"";"";"";"";"FALSE";"";"";"TRUE";"System";"PiStorm";"FALSE";"FALSE";"FALSE";"TRUE";"OnlineGENet.info";"FALSE";"FALSE";"FALSE";"FALSE";"FALSE";"FALSE";"FALSE";"FALSE";"FALSE";"FALSE";"";""
"2.1.4";"9.9";"0.1";"9.9";"3.1,3.2,3.2.2.1,3.2.3,3.9";"";"";"AmiNetXDuo";"FALSE";"";"Selectable";"Pistorm Folder - Online and Offline";"FALSE";"TRUE";"Network Utilities";"Network";"Network utilities to get you online";"";"";"";"";"";"FALSE";"Local";"";"";"";"CopyFiles";"System\Pistorm\Offline_Roadshow.info";"FALSE";"";"";"";"";"FALSE";"";"";"TRUE";"System";"PiStorm";"FALSE";"FALSE";"FALSE";"TRUE";"Offline.info";"FALSE";"FALSE";"FALSE";"FALSE";"FALSE";"FALSE";"FALSE";"FALSE";"FALSE";"FALSE";"";""
"2.1.4";"9.9";"0.1";"9.9";"3.1,3.2,3.2.2.1,3.2.3,3.9";"";"";"Any";"FALSE";"";"Mandatory";"Emu68 1.1 PiStorm16 FrameThrower kernel";"TRUE";"";"Emu68 1.1 PiStorm16 FrameThrower kernel";"Emu68";"Official Emu68 1.1 alpha.1 PiStorm16 build";"";"";"";"";"";"FALSE";"Github";"Release";"^Emu68-pistorm\.zip$";"v1.1.0-alpha.1";"CopyFiles";"https://api.github.com/repos/michalsc/Emu68/releases";"FALSE";"";"";"";"Emu68PiStormFrameThrower.zip";"FALSE";"";"Emu68-pistorm.gz";"TRUE";"Emu68Boot";"";"FALSE";"FALSE";"FALSE";"FALSE";"";"FALSE";"FALSE";"FALSE";"FALSE";"FALSE";"FALSE";"FALSE";"FALSE";"FALSE";"FALSE";"";"FrameThrowerPiStorm"
"2.1.4";"9.9";"0.1";"9.9";"3.1,3.2,3.2.2.1,3.2.3,3.9";"";"";"Any";"FALSE";"";"Mandatory";"Emu68 1.1 PiStorm16 FrameThrower overlays";"TRUE";"";"Emu68 1.1 PiStorm16 FrameThrower overlays";"Emu68";"Device-tree overlays matching Emu68 1.1 alpha.1 PiStorm16";"";"";"";"";"";"FALSE";"Github";"Release";"^Emu68-pistorm\.zip$";"v1.1.0-alpha.1";"CopyFiles";"https://api.github.com/repos/michalsc/Emu68/releases";"FALSE";"";"";"";"Emu68PiStormFrameThrower.zip";"FALSE";"";"overlays\*";"TRUE";"Emu68Boot";"overlays";"FALSE";"FALSE";"FALSE";"FALSE";"";"FALSE";"FALSE";"FALSE";"FALSE";"FALSE";"FALSE";"FALSE";"FALSE";"FALSE";"FALSE";"";"FrameThrowerPiStorm"
"2.1.4";"9.9";"0.1";"9.9";"3.1,3.2,3.2.2.1,3.2.3,3.9";"";"";"Any";"FALSE";"";"Mandatory";"Emu68 1.1 Classic PiStorm FrameThrower kernel";"TRUE";"";"Emu68 1.1 Classic PiStorm FrameThrower kernel";"Emu68";"Official Emu68 1.1 alpha.1 Classic PiStorm build";"";"";"";"";"";"FALSE";"Github";"Release";"^Emu68-pistorm-classic\.zip$";"v1.1.0-alpha.1";"CopyFiles";"https://api.github.com/repos/michalsc/Emu68/releases";"FALSE";"";"";"";"Emu68PiStormClassicFrameThrower.zip";"FALSE";"";"Emu68-pistorm-classic.gz";"TRUE";"Emu68Boot";"";"FALSE";"FALSE";"FALSE";"FALSE";"";"FALSE";"FALSE";"FALSE";"FALSE";"FALSE";"FALSE";"FALSE";"FALSE";"FALSE";"FALSE";"";"FrameThrowerClassic"
"2.1.4";"9.9";"0.1";"9.9";"3.1,3.2,3.2.2.1,3.2.3,3.9";"";"";"Any";"FALSE";"";"Mandatory";"Emu68 1.1 Classic PiStorm FrameThrower overlays";"TRUE";"";"Emu68 1.1 Classic PiStorm FrameThrower overlays";"Emu68";"Device-tree overlays matching Emu68 1.1 alpha.1 Classic PiStorm";"";"";"";"";"";"FALSE";"Github";"Release";"^Emu68-pistorm-classic\.zip$";"v1.1.0-alpha.1";"CopyFiles";"https://api.github.com/repos/michalsc/Emu68/releases";"FALSE";"";"";"";"Emu68PiStormClassicFrameThrower.zip";"FALSE";"";"overlays\*";"TRUE";"Emu68Boot";"overlays";"FALSE";"FALSE";"FALSE";"FALSE";"";"FALSE";"FALSE";"FALSE";"FALSE";"FALSE";"FALSE";"FALSE";"FALSE";"FALSE";"FALSE";"";"FrameThrowerClassic"
"2.1.4";"9.9";"0.1";"9.9";"3.1,3.2,3.2.2.1,3.2.3,3.9";"";"";"Any";"FALSE";"";"Mandatory";"VideoCore 1.5 for Emu68 1.1";"TRUE";"";"VideoCore 1.5 for Emu68 1.1";"Emu68";"VideoCore.card 1.5 required by Emu68 1.1 alpha.1";"";"";"";"";"9999";"FALSE";"Github";"Release-NoArchive";"^VideoCore\.card$";"v1.1.0-alpha.1";"CopyFiles";"https://api.github.com/repos/michalsc/Emu68/releases";"FALSE";"";"";"";"VideoCore.card";"FALSE";"";"VideoCore.card";"TRUE";"System";"Libs\Picasso96";"FALSE";"FALSE";"FALSE";"FALSE";"";"FALSE";"FALSE";"FALSE";"FALSE";"FALSE";"FALSE";"FALSE";"FALSE";"FALSE";"FALSE";"";"FrameThrower"
